uniq_id,category,sub_cat1,sub_cat2,sub_cat3,sub_cat4
28c216024887617838117d5ebf57765f,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
8aa01bfb947d2aa80e65bc2dc34ec3da,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
99df8cec3877eec760dae0c96d040516,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
1550633aff26ec6111b7d0363acbbb69,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
095c5e1c864779b974f6cb6041a024f6,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
3d6c7462ce4369a888159efabc4b71ff,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
ea733ea0101190b55e5b7be149ec79e9,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
2ab52c119004f0bae1fabcba9a763446,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
7e3d3e5507001ae8bab11bb270bed56b,Hobbies,Model Trains & Railway Sets,Rail Vehicles,Trains,NA
a293883056a366321acbf8ae75a366a1,Characters & Brands,Thomas & Friends,Train Play,Motor Road & Rail,NA
e7996d12c2cb0d01e341bc1e54c88c7d,Characters & Brands,Hasbro,NA,NA,NA
5f2a2131a6ed73019ebe9a94fb98cacc,Characters & Brands,Star Wars,Toys,NA,NA
a006701c15f12c6a200f48fba57da352,Characters & Brands,Disney,Toys,NA,NA
3394a49a164c4644ee6b551526080d7f,Characters & Brands,Disney,Toys,NA,NA
3c0977ee85bc7f67d0d285a4005e5080,Fancy Dress,Costumes,NA,NA,NA
ffc7c55ad86cd78fdc81c0b4d747da95,Bags,Schoolbags & Backpacks,Bags,NA,NA
c375310e315e2763112e32d6b4a6f244,Characters & Brands,Disney,Toys,NA,NA
a15612f8459b065c74cf2d207dac5004,Characters & Brands,Disney,Toys,NA,NA
910b258e79fe55a6860e95084789236b,Characters & Brands,Star Wars,Toys,NA,NA
de384d1252ff034f96b86825b7b965de,Arts & Crafts,Children's Craft Kits,NA,NA,NA
46bacee8a8676b4d4bfb14b1a5c01106,Characters & Brands,Disney,Toys,NA,NA
8d8a6ca8946fd627073059890ec896c5,Characters & Brands,Tomy,NA,NA,NA
5f768ce860d1d3bff5569b780eb62b8f,Handbags & Shoulder Bags,Kids',NA,NA,NA
567b03329a15b80b2e3499492ebefeba,Characters & Brands,Disney,Toys,NA,NA
39a3a46a5361b31b7ff69891213fa3de,Characters & Brands,Hasbro,NA,NA,NA
bbcca2bfe3b2eee013552a4b9ae33e10,Characters & Brands,Disney,Toys,NA,NA
59dcb62489651afd1ee477fbcee8a813,Games,Dice & Dice Games,NA,NA,NA
af1251e7f47316afaccb31abf394ebe7,Games,Dice & Dice Games,NA,NA,NA
a8884bc78ee285e75177c96d1fc455b9,Games,Dice & Dice Games,NA,NA,NA
402c446d75f54056cd1926d5e7f466f4,Games,Dice & Dice Games,NA,NA,NA
0e243f5d9fe2c3c7f2699f1b93055d9e,Games,Dice & Dice Games,NA,NA,NA
f0b941e532534a84b43bf099f6f14cab,Games,Dice & Dice Games,NA,NA,NA
04c8cb55e94dfa2b0e7e7346af761585,Games,Dice & Dice Games,NA,NA,NA
e6fcd9e941aa776771c1d706077ee13a,Characters & Brands,Hasbro,NA,NA,NA
cd86d4805a48ba2c568552d573940f52,Games,Dice & Dice Games,NA,NA,NA
76afb733785569a2286f2b2460997aac,Games,Dice & Dice Games,NA,NA,NA
57d1e18f9f4e1a4347a9a190762a61d6,Games,Dice & Dice Games,NA,NA,NA
883907960976ac281cd53f2d640e0ed9,Games,Dice & Dice Games,NA,NA,NA
b585918cbbf998a288bbb259313f0296,Games,Dice & Dice Games,NA,NA,NA
3ddd0aca9064b2ba4de2ac88b5b53ec0,Games,Dice & Dice Games,NA,NA,NA
122eff64c6fe99b51ca48e20af35a169,Games,Dice & Dice Games,NA,NA,NA
76673c4eae2d8ecb09bdb9c880de40ab,Games,Dice & Dice Games,NA,NA,NA
16675397c352b7d68b45f42d3086f304,Games,Dice & Dice Games,NA,NA,NA
